Subscription ID,Contracting Party,Subscription Status,Type,Internal,Jira Ref,Initiative Code,Initiative,Contour Identity,Identity Legal Entity Name (O),Identity BIC,Identity LEI,Identity Reg Number,X500-O,X500-OU,X500-L,X500-C,Set-up Date,Hosting Type,Identity Contacts (CSV),Full X500,BNO DB Status,BNO ID,Cordapp Version,CNF Sponsored,Billing Run Result,Events This Month,Total Events,BNMS vs BNO,TBC
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HOT-171,,0,HSBC China,HSBC Bank (China) Company Limited,HSBCCNSHXXX,2CZOJRADNJXBLT55G526,9.131E+17,HSBC Bank (China) Company Limited,GTRF Production,Shanghai,CN,9-Jul,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ,"ou=gtrf production, o=hsbc bank (china) company limited, l=shanghai, c=cn",Active,883662669,60100,ERROR,SUCCESS,0,0,OK,
9,Skandinaviska Enskilda Banken AB (publ),172,Bank,FALSE,HOT-103,,0,SEB,Skandinaviska Enskilda Banken AB (publ),ESSESESSXXX,F3JS33DEI6XQ4ZBPTN86,5020329081,Skandinaviska Enskilda Banken AB (publ),Node1,Stockholm,SE,14-Apr,Self-Managed,marina.sandquist@seb.se; thommy.lindahl@seb.se,"ou=node1, o=skandinaviska enskilda banken ab (publ), l=stockholm, c=se",Active,11567442,60000,OK,SUCCESS,0,0,OK,
6,BNP Paribas SA,144,Bank,FALSE,HOT-125,,0,BNP PARIBAS,BNP Paribas,BNPAFRPP,R0MUWSFPU8MPRO8K5P83,662042449,BNP Paribas,CTR PRD AGENT 01,Paris,FR,28-Apr,Self-Managed,baptiste.zegre@externe.bnpparibas.com; jose.pires@bnpparibas.com; kamal.naitouahmane@externe.bnpparibas.com; samer.elmurr@bnpparibas.com; ,"ou=ctr prd agent 01, o=bnp paribas, l=paris, c=fr",Active,82710369,60000,OK,SUCCESS,0,0,OK,
40,Standard Chartered Global Business Services Private Limited,113,Bank,FALSE,HOT-176,,0,Standard Chartered Bank – Node 1,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,Not found,335800QQ8KN4Q9EF4133,U67190TN2000PTC049177,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,CIB ITO-CORDA-SCB IN,Chennai,IN,18-Jul,Self-Managed,andrelee@dbs.com; bryankang@dbs.com; leonardtanpc@dbs.com; louisatang@dbs.com; mankwanchen@dbs.com; melanieyau@dbs.com; patrickng@dbs.com; wanganchua@dbs.com,"ou=cib ito-corda-scb in, o=standard chartered global business services private limited, l=chennai, c=in",Active,154952850,60000,ERROR,SUCCESS,0,2,OK,
1,HSBC Global Services (Hong Kong) Limited,113,Bank,FALSE,HELP-438,,0,HSBC Thailand,The Hongkong and Shanghai Banking Corporation Limited,HSBCTHBK,,1.00544E+11,The Hongkong and Shanghai Banking Corporation Limited,Global Trade and Receivables Finance Production,Bangkok,TH,25-Aug,Self-Managed,andy.x.c.wang@hsbc.com.cn; bing.qu@hsbc.com; eric.e.miao@hsbc.com; keano.y.c.chan@hsbc.com.hk; sandy.j.peng@hsbc.com.cn; henrique.centieiro@hsbc.com.hk ; j-c.manghardt@hsbc.com.hk ; benson.s.p.wong@hsbc.com.hk ,"ou=global trade and receivables finance production, o=the hongkong and shanghai banking corporation limited, l=bangkok, c=th",Active,189127242,60100,ERROR,SUCCESS,0,0,OK,
13,Tata Steel Limited,129,Corporate,FALSE,HELP-34,,0,TATA STEEL LIMITED,TATA Steel Limited,Not found,335800E6C75YGSGD5T66,L27100MH1907PLC000260,TATA Steel Limited,Trade Finance,Mumbai,IN,24-Feb,Cloud,amitk@tatasteel.com; mini.susan@tatasteel.com; rahullal@tatasteel.com; ,"ou=trade finance, o=tata steel limited, l=mumbai, c=in",Active,404564522,60100,OK,SUCCESS,0,2,OK,
12,Universal Tube and Plastic Industries Ltd.,144,Corporate,FALSE,HELP-38,,0,Universal Tube and Plastic Industries Ltd.,Universal Tube and Plastic Industries Ltd.,Not found,,105424B,Universal Tube and Plastic Industries Ltd.,Trade Finance,Dubai,AE,24-Feb,Cloud,sandeep@universaltubes.com; shylu@universaltubes.com; utpinfo@universaltubes.com; ,"ou=trade finance, o=universal tube and plastic industries ltd., l=dubai, c=ae",Active,668283612,60100,OK,SUCCESS,0,0,OK,
5,Xiamen ITG,172,Corporate,FALSE,HELP-35,,0,"Xiamen ITG Group Corp., Ltd",Xiamen ITG Group Corp. Ltd,Not found,,9.13502E+17,Xiamen ITG Group Corp. Ltd,Trade Finance,Xiamen,CN,12-Mar,Cloud,liyulong@itg.com.cn; sunbk@itg.com.cn; xuyiwei@itg.com.cn;,"ou=trade finance, o=xiamen itg group corp. ltd, l=xiamen, c=cn",Active,381818972,60100,OK,SUCCESS,0,0,OK,
4,Bank of China (Hong Kong),172,Bank,FALSE,HELP-25,,0,Bank of China (Hong Kong) Limited,Bank of China (Hong Kong) Limited,BKCHHKHHXXX,KNPC1X7GHDZW8U2ZSF89,01779270 - 000,Bank of China (Hong Kong) Limited,Trade Finance,Hong Kong,HK,5-Mar,Cloud,emilybhng@bochk.com; kane_hhlai@bochk.com; tsckmchiu@bohk.com; tsclchik@bochk.com; ,"ou=trade finance, o=bank of china (hong kong) limited, l=hong kong, c=hk",Active,999225753,60100,OK,SUCCESS,0,0,OK,
11,ICBC Xiamen,172,Bank,FALSE,HELP-61,,0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA,XIAMEN CITY BRANCH",Industrial and Commercial Bank of China Limited Xiamen Branch Business Office,ICBKCNBJSMM ,,91350200854989713W,Industrial and Commercial Bank of China Limited Xiamen Branch Business Office,Trade Finance,Xiamen,CN,12-Mar,Cloud,fangyiru@xm.icbc.com.cn;,"ou=trade finance, o=industrial and commercial bank of china limited xiamen branch business office, l=xiamen, c=cn",Active,195191574,60100,OK,SUCCESS,0,3,OK,
8,Rio Tinto Commercial Pte. Ltd.,172,Corporate,FALSE,HELP-60,,0,Rio Tinto Commercial Pte Ltd,Rio Tinto Commercial Pte Ltd,Not found,875500B0FWFIGPISQH05,200711921E,Rio Tinto Commercial Pte Ltd,Trade Finance,Singapore,SG,12-Mar,Cloud,Annie.Ho@riotinto.com; doreen.chew@riotinto.com; doreen.lee@riotinto.com; Michel.Alves@riotinto.com; cstradefinance@riotinto.com; SiokHwee.Tan@riotinto.com; weijie.koh@riotinto.com; Dawn.Low@riotinto.com; ,"ou=trade finance, o=rio tinto commercial pte ltd, l=singapore, c=sg",Active,983807791,60100,OK,SUCCESS,1,3,OK,
14,DBS Bank Limited,203,Bank,FALSE,HELP-86,,0,DBS BANK LTD.,DBS Bank Ltd.,DBSSSGSG,ATUEL7OJR5057F2PV266,196800306E,DBS Bank Ltd.,Trade Finance,Singapore,SG,29-Mar,Cloud,acasiusleong@dbs.com; alextangky@dbs.com; catherinehuangh@dbs.com; keitheng@dbs.com; leonardtanpc@dbs.com; megansoo@dbs.com; siewjinliew@dbs.com; SiewLanChing@dbs.com; YeeLee@dbs.com,"ou=trade finance, o=dbs bank ltd., l=singapore, c=sg",Active,722481030,60100,OK,SUCCESS,0,5,OK,
5,Xiamen ITG,172,Corporate,FALSE,HELP-35,,0,Pointer Investment  - Hong Kong,Pointer Investment (Hong Kong) Limited,Not found,,143030,Pointer Investment (Hong Kong) Limited,Trade Finance,Hong Kong,HK,24-Mar,Cloud,liyulong@itg.com.cn; sunbk@itg.com.cn; xuyiwei@itg.com.cn;,"ou=trade finance, o=pointer investment (hong kong) limited, l=hong kong, c=hk",Active,27155922,60100,OK,SUCCESS,0,0,OK,
8,Rio Tinto Commercial Pte. Ltd.,172,Corporate,FALSE,HELP-71,,0,ROBE RIVER ORE SALES PTY. LTD.,Robe River Ore Sales Pty. Ltd.,Not found,,ACN053296254,Robe River Ore Sales Pty. Ltd.,Trade Finance,Perth,AU,24-Mar,Cloud,Annie.Ho@riotinto.com; doreen.chew@riotinto.com; doreen.lee@riotinto.com; Michel.Alves@riotinto.com; cstradefinance@riotinto.com; SiokHwee.Tan@riotinto.com; weijie.koh@riotinto.com; Dawn.Low@riotinto.com; ,"ou=trade finance, o=robe river ore sales pty. ltd., l=perth, c=au",Active,84736786,60100,OK,SUCCESS,1,1,OK,
8,Rio Tinto Commercial Pte. Ltd.,172,Corporate,FALSE,HELP-70,,0,HOPE DOWNS MARKETING COMPANY PTY LTD,Hope Downs Marketing Company Pty Ltd,Not found,,ACN115712117,Hope Downs Marketing Company Pty Ltd,Trade Finance,Perth,AU,24-Mar,Cloud,Annie.Ho@riotinto.com; doreen.chew@riotinto.com; doreen.lee@riotinto.com; Michel.Alves@riotinto.com; cstradefinance@riotinto.com; SiokHwee.Tan@riotinto.com; weijie.koh@riotinto.com; Dawn.Low@riotinto.com; ,"ou=trade finance, o=hope downs marketing company pty ltd, l=perth, c=au",Active,83641626,60100,OK,SUCCESS,1,1,OK,
7,Bangkok Bank Public Company Limited,172,Bank,FALSE,HELP-95,,0,Bangkok Bank - Thailand,Bangkok Bank Public Company Limited,BKKBTHBK,549300CCL2BKJGMYXV60,1.07536E+11,Bangkok Bank Public Company Limited,Trade Finance,Bangkok,TH,24-Mar,Cloud,Kantipong.Phairot@bangkokbank.com; Pintuwan.Kleijssen@bangkokbank.com; kajohnsak.manaviriyakul@bangkokbank.com; ,"ou=trade finance, o=bangkok bank public company limited, l=bangkok, c=th",Active,725177225,60100,ERROR,SUCCESS,0,0,OK,
7,Bangkok Bank Public Company Limited,172,Bank,FALSE,HELP-94,,0,Bangkok Bank - Vietnam,Bangkok Bank Public Company Limited,BKKBVNVX,,301219010,Bangkok Bank Public Company Limited,Trade Finance,Ho Chi Minh City,VN,24-Mar,Cloud,Kantipong.Phairot@bangkokbank.com; Pintuwan.Kleijssen@bangkokbank.com; kajohnsak.manaviriyakul@bangkokbank.com; ,"ou=trade finance, o=bangkok bank public company limited, l=ho chi minh city, c=vn",Active,269950954,60100,ERROR,SUCCESS,0,0,OK,
17,Hangzhou Iron & Steel (H.K.) Co Ltd,203,Corporate,FALSE,HELP-117,447Q38,CWP,HANGZHOU IRON & STEEL (H.K.) COMPANY LIMITED,HANGZHOU IRON & STEEL (H.K.) COMPANY LIMITED,Not found,,686829,HANGZHOU IRON & STEEL (H.K.) COMPANY LIMITED,Trade Finance,Hong Kong,HK,9-Apr,Cloud,alex@fuchuen.com; memo@fuchuen.com; taiyl@fuchuen.com;,"ou=trade finance, o=hangzhou iron & steel (h.k.) company limited, l=hong kong, c=hk",Active,578096936,60100,OK,SUCCESS,0,0,OK,
18,"HBIS Group Hong Kong Co., Limited",233,Corporate,FALSE,HELP-127,650D81,CWP,HBIS Group Hong Kong Co. Limited,HBIS Group Hong Kong Co. Limited,Not found,3003007YDGH5Y16N0B63,51709350-000-01-21-3,HBIS Group Hong Kong Co. Limited,Trade Finance,Hong Kong,HK,20-Apr,Cloud,hesteelhk@hbisco.com; pchung@hbisco.com; kkleung@hbisco.com,"ou=trade finance, o=hbis group hong kong co. limited, l=hong kong, c=hk",Active,928801753,60100,ERROR,SUCCESS,0,0,OK,
19,Vale International SA,233,Corporate,FALSE,??,,0,,Vale International SA,Not found,549300N2ZJ4466RLRV29,CHE-112.796.530,Vale International SA,Trade Finance Prod,St-Prex,CH,30-Apr,Cloud,celeste.prates@vale.com; fatima.kiffer@vale.com; Lim.bengbing@vale.com;verachin.silva@vale.com; yeefong.fan@VALE.COM;Zulkefli.Mohamed@vale.com ,"ou=trade finance prod, o=vale international sa, l=st-prex, c=ch",Active,176862724,60100,ERROR,SUCCESS,0,0,OK,
19,Vale International SA,233,Corporate,FALSE,HELP-134,,0,Vale International SA,Vale International SA,Not found,549300N2ZJ4466RLRV29,CHE-112.796.530,Vale International SA,Trade Finance,St-Prex,CH,30-Apr,Cloud,celeste.prates@vale.com; fatima.kiffer@vale.com; Lim.bengbing@vale.com;verachin.silva@vale.com; yeefong.fan@VALE.COM;Zulkefli.Mohamed@vale.com ,"ou=trade finance, o=vale international sa, l=st-prex, c=ch",Terminated,340415874,60100,ERROR,FAILURE,0,3,OK,
20,Toptip Holding Pte. Ltd,233,Corporate,FALSE,HELP-139,981X83,CWP,TOPTIP HOLDING PTE. LTD,Toptip Holding Pte. Ltd,Not found,549300L8TAS7NXL71I52,200805680W,Toptip Holding Pte. Ltd,Trade Finance,Singapore,SG,4-May,Cloud,ops@toptip.com.sg,"ou=trade finance, o=toptip holding pte. ltd, l=singapore, c=sg",Active,485648362,60100,ERROR,SUCCESS,0,0,OK,
22,Singapore Jinteng International Pte. Ltd.,264,Corporate,FALSE,HELP-167,3.56E+16,CWP,Singapore Jinteng International Pte Ltd,Singapore Jinteng International Pte Ltd,Not found,30030009YNC87ZEJ0I96,201318265D,Singapore Jinteng International Pte Ltd,Trade Finance,Singapore,SG,7-Jun,Cloud,baisuqiu@njsteel.com.cn; diaochenghai@njsteel.com.cn; yushui@njsteel.com.cn; zhaoqian@njsteel.com.cn,"ou=trade finance, o=singapore jinteng international pte ltd, l=singapore, c=sg",Active,410876024,60100,ERROR,SUCCESS,0,0,OK,
23,Chandra Asri Trading Company Pte. Ltd. ,264,Corporate,FALSE,HELP-172,555G91,CWP,Chandra Asri Trading Company Pte Ltd,Chandra Asri Trading Company Pte Ltd,Not found,,20091921M,Chandra Asri Trading Company Pte Ltd,Trade Finance,Singapore,SG,7-Jun,Cloud,adhi.rachman@capcx.com; irawan@capcx.com; jonathan.kandinata@capcx.com,"ou=trade finance, o=chandra asri trading company pte ltd, l=singapore, c=sg",Active,152502340,60100,ERROR,SUCCESS,0,0,OK,
24,Hong Kong Jinteng Development Ltd.,294,Corporate,FALSE,HELP-183,715S67,CWP,HONG KONG JINTENG DEVELOPMENT LIMITED,HONG KONG JINTENG DEVELOPMENT LIMITED,Not found,,2326713,HONG KONG JINTENG DEVELOPMENT LIMITED,Trade Finance,Hong Kong,HK,14-Jun,Cloud,baisuqiu@njsteel.com.cn; diaochenghai@njsteel.com.cn; yushui@njsteel.com.cn; zhaoqian@njsteel.com.cn,"ou=trade finance, o=hong kong jinteng development limited, l=hong kong, c=hk",Active,58791134,60100,ERROR,SUCCESS,0,0,OK,
25,Cemcoa Limited,294,Corporate,FALSE,HELP-189,274O83,CWP,CEMCOA LIMITED,CEMCOA LIMITED,Not found,,11264267-000-08-18-2,CEMCOA LIMITED,Trade Finance,Hong Kong,HK,15-Jun,Cloud,anika.chowdhury@thecemcoa.com; bills@thecemcoa.com; joseph.kwan@thecemcoa.com; john.khew@ssgil.com; treasury@thecemcoa.com; kineks.cheung@thecemcoa.com,"ou=trade finance, o=cemcoa limited, l=hong kong, c=hk",Active,92015259,60100,ERROR,SUCCESS,0,0,OK,
27,"Metal One (Thailand) Co., Ltd",294,Corporate,FALSE,HELP-198,376Y65,CWP,Metal One (Thailand) Company Limited,Metal One (Thailand) Company Limited,Not found,,2.4554E+11,Metal One (Thailand) Company Limited,Trade Finance,Bangkok,TH,17-Jun,Cloud,anon.c@mtlo.co.th; kazuyuki.inada@mtlo.co.th; mayuree@mtlo.co.th; phakhamon@mtlo.co.th,"ou=trade finance, o=metal one (thailand) company limited, l=bangkok, c=th",Active,569400533,60100,ERROR,SUCCESS,0,0,OK,
29,"SCG Plastics Co., Ltd.",294,Corporate,FALSE,HELP-209,767S67,CWP,SCG Plastics Company Limited,SCG Plastics Company Limited,Not found,,1.05538E+11,SCG Plastics Company Limited,Trade Finance,Bangkok,TH,21-Jun,Cloud,nattinea@scg.com; patcharm@scg.com; piyanucs@scg.com,"ou=trade finance, o=scg plastics company limited, l=bangkok, c=th",Active,634153867,60100,ERROR,SUCCESS,0,0,OK,
28,"SCG Performance Chemicals Co., Ltd",294,Corporate,FALSE,HELP-214,765X59,CWP,SCG Performance Chemicals Company Limited,SCG Performance Chemicals Company Limited,Not found,,1.05551E+11,SCG Performance Chemicals Company Limited,Trade Finance,Bangkok,TH,24-Jun,Cloud,nattinea@scg.com; patcharm@scg.com; piyanucs@scg.com,"ou=trade finance, o=scg performance chemicals company limited, l=bangkok, c=th",Active,600389668,60100,ERROR,SUCCESS,0,0,OK,
30,PALM-OLEO SDN BHD,294,Corporate,FALSE,HELP-218,427T62,CWP,PALM-OLEO SDN BHD,PALM-OLEO SDN BHD,Not found,,185886V,PALM-OLEO SDN BHD,Trade Finance,Petaling Jaya,MY,5-Jul,Cloud,alan.lim@klkoleo.com; ml.chin@klkoleo.com; po-shipdocs@klkoleo.com; tracy.ng@klkoleo.com; william.ng@klkoleo.com,"ou=trade finance, o=palm-oleo sdn bhd, l=petaling jaya, c=my",Active,729539857,60100,ERROR,SUCCESS,0,0,OK,
31,PT Arista Latindo,294,Corporate,FALSE,HELP-220,107M20,CWP,PT ARISTA LATINDO,PT ARISTA LATINDO,Not found,,8.1203E+12,PT ARISTA LATINDO,Trade Finance,Jakarta,ID,30-Jun,Cloud,aristaexim@yahoo.com; celly@aristagloves.com; lius@aristagloves.com,"ou=trade finance, o=pt arista latindo, l=jakarta, c=id",Active,892739391,60100,ERROR,SUCCESS,0,0,OK,
34,British American Tobacco Bangladesh Company Ltd,294,Corporate,FALSE,HELP-242,936F68,CWP,BRITISH AMERICAN TOBACCO BANGLADESH CO. LTD.,BRITISH AMERICAN TOBACCO BANGLADESH CO. LTD.,BATSBDA1XXX,213800UHX6IFHXQL8F39,180004,BRITISH AMERICAN TOBACCO BANGLADESH CO. LTD.,Trade Finance,Dhaka,BD,2-Jul,Cloud,ahmed_nasim@bat.com; sadia_kamal@bat.com; zarrin_tasnim@bat.com,"ou=trade finance, o=british american tobacco bangladesh co. ltd., l=dhaka, c=bd",Active,367210856,60100,ERROR,SUCCESS,0,0,OK,
32,ArcelorMittal Nippon Steel India Ltd,294,Corporate,FALSE,HELP-228,,0,ArcelorMittal Nippon Steel India Limited,ArcelorMittal Nippon Steel India Limited,Not found,335800G4XYOMDYABDS23,U27100GJ1976FLC013787,ArcelorMittal Nippon Steel India Limited,Trade Finance,Surat,IN,6-Jul,Cloud,Narayan.Joshi@amns.in; pitambar.sahu@amns.in; pradeep.parte@amns.in; rajesh.patel@amns.in,"ou=trade finance, o=arcelormittal nippon steel india limited, l=surat, c=in",Active,53489564,60100,ERROR,SUCCESS,0,0,OK,
35,CHEMTECH CO.LTD,294,Corporate,FALSE,HELP-247,365M45,CWP,CHEMTECH CO. LTD,CHEMTECH CO. LTD,Not found,,3700603175,CHEMTECH CO. LTD,Trade Finance,Binh Duong,VN,6-Jul,Cloud,linhngth@scg.com; phuongntt@scg.com; thanhtra@scg.com,"ou=trade finance, o=chemtech co. ltd, l=binh duong, c=vn",Active,427638024,60100,ERROR,SUCCESS,0,0,OK,
33,AN PHAT BIOPLASTICS JOINT STOCK COMPANY,294,Corporate,FALSE,HELP-231,715J24,CWP,AN PHAT BIOPLASTICS JOINT STOCK COMPANY,AN PHAT BIOPLASTICS JOINT STOCK COMPANY,Not found,,800373586,AN PHAT BIOPLASTICS JOINT STOCK COMPANY,Trade Finance,Hai Duong,VN,5-Jul,Cloud,ap.ketoan1@anphatbioplastics.com; ap.pmh7@anphatbioplastics.com; httha@anphatbioplastics.com,"ou=trade finance, o=an phat bioplastics joint stock company, l=hai duong, c=vn",Active,160466141,60100,ERROR,SUCCESS,0,0,OK,
37,DBS BANK (HONG KONG) LIMITED,294,Bank,FALSE,HELP-261,,0,DBS BANK (HONG KONG) LIMITED,DBS BANK (HONG KONG) LIMITED,DHBKHKHH,JB11ZK3Z2RFU15QNWV97,00513603-000-04-21-2,DBS BANK (HONG KONG) LIMITED,Trade Finance,Central District,HK,9-Jul,Cloud,acasiusleong@dbs.com; alextangky@dbs.com; catherinehuangh@dbs.com; keitheng@dbs.com; leonardtanpc@dbs.com; megansoo@dbs.com; siewjinliew@dbs.com; SiewLanChing@dbs.com; YeeLee@dbs.com,"ou=trade finance, o=dbs bank (hong kong) limited, l=central district, c=hk",Active,112554448,60100,ERROR,SUCCESS,0,0,OK,
39,Polyplex (Thailand) Public Company Limited,325,Corporate,FALSE,HELP-268,850F26,CWP,Polyplex (Thailand) Public Company Limited,Polyplex (Thailand) Public Company Limited,Not found,529900B3G8NVNTYVGM61,1.07547E+11,Polyplex (Thailand) Public Company Limited,Trade Finance,Bangkok,TH,22-Jul,Cloud,supritha@polyplex.com; manisha@polyplex.com; ratheesh.aniyeri@polyplex.com; kittima@polyplex.com,"ou=trade finance, o=polyplex (thailand) public company limited, l=bangkok, c=th",Active,510564880,60100,ERROR,SUCCESS,0,0,OK,
